dataset,split
5g_energy_consumption-10eca1f7da02,0
5g_energy_consumption-10eca1f7da02,1
acquire_valued_shoppers_challenge-f519aa482bb5,0
acquire_valued_shoppers_challenge-f519aa482bb5,1
acquire_valued_shoppers_challenge-f519aa482bb5,2
acquire_valued_shoppers_challenge-f519aa482bb5,3
acquire_valued_shoppers_challenge-f519aa482bb5,4
airfoil_self_noise-6278f0ada559,0
allstate_claims_severity-ac12f04f54e8,0
amazon_employee_access-4417c4c952bc,0
amex_non_iid_1m-e2e64ee8b42e,0
anes_voting_2026-58a0e941922e,0
anes_voting_2026-58a0e941922e,1
aps_failure-b63fc6330117,0
aps_failure-b63fc6330117,1
aps_failure-b63fc6330117,2
aps_failure-b63fc6330117,3
aps_failure-b63fc6330117,4
asp_potassco_classification-6cbac33e4d1f,0
asp_potassco_classification-6cbac33e4d1f,1
asp_potassco_classification-6cbac33e4d1f,2
asp_potassco_classification-6cbac33e4d1f,3
audiology_diagnosis-90d4820bace0,0
audiology_diagnosis-90d4820bace0,1
audiology_diagnosis-90d4820bace0,2
audiology_diagnosis-90d4820bace0,3
bad_customer_detection-7b2ea3462dce,0
bad_customer_detection-7b2ea3462dce,1
bad_customer_detection-7b2ea3462dce,2
bad_customer_detection-7b2ea3462dce,3
bad_customer_detection-7b2ea3462dce,4
bad_customer_detection-7b2ea3462dce,5
bad_customer_detection-7b2ea3462dce,6
bad_customer_detection-7b2ea3462dce,7
bank_customer_churn-b1fc11f3ea36,0
bank_marketing-ba2b45409a51,0
biogeographical_ancestry_prediction-a940a550ed40,0
biomechanical_orthopaedic_prediction-c744da7b0d83,0
biomechanical_orthopaedic_prediction-c744da7b0d83,1
biomechanical_orthopaedic_prediction-c744da7b0d83,2
biomechanical_orthopaedic_prediction-c744da7b0d83,3
biomechanical_orthopaedic_prediction-c744da7b0d83,4
bioresponse-63f85b558d70,0
bioresponse-63f85b558d70,1
bioresponse-63f85b558d70,2
blood_tests_drink_prediction-aeec267edab7,0
blood_tests_drink_prediction-aeec267edab7,1
blood_tests_drink_prediction-aeec267edab7,2
blood_tests_drink_prediction-aeec267edab7,3
blood_tests_drink_prediction-aeec267edab7,4
blood_tests_drink_prediction-aeec267edab7,5
blood_tests_drink_prediction-aeec267edab7,6
blood_tests_drink_prediction-aeec267edab7,7
blood_tests_drink_prediction-aeec267edab7,8
blood_tests_drink_prediction-aeec267edab7,9
blood_tests_drink_prediction-aeec267edab7,10
blood_tests_drink_prediction-aeec267edab7,11
blood_transfusion-c0b8fbb104f3,0
blood_transfusion-c0b8fbb104f3,1
blood_transfusion-c0b8fbb104f3,2
body_density_prediction-19548b7220c1,0
body_density_prediction-19548b7220c1,1
body_density_prediction-19548b7220c1,2
body_density_prediction-19548b7220c1,3
california_house_prices_2020-08905ffc576b,0
cardiotocography-172ef52f9a1b,0
cardiotocography-172ef52f9a1b,1
cardiotocography-172ef52f9a1b,2
churn-4ae7db677764,0
churn-4ae7db677764,1
churn-4ae7db677764,2
